"entity_id","state","last_changed"
"sensor.sigen_consumed_power","0.046","2025-09-16 10:30:00.000Z"
"sensor.sigen_consumed_power","0.048","2025-09-16 10:31:00.000Z"
"sensor.sigen_consumed_power","0.046","2025-09-16 10:32:00.000Z"
"sensor.sigen_consumed_power","0.079","2025-09-16 10:33:00.000Z"
"sensor.sigen_consumed_power","2.032","2025-09-16 10:34:00.000Z"
"sensor.sigen_consumed_power","2.628","2025-09-16 10:35:00.000Z"
"sensor.sigen_consumed_power","2.606","2025-09-16 10:36:00.000Z"
"sensor.sigen_consumed_power","2.572","2025-09-16 10:37:00.000Z"
"sensor.sigen_consumed_power","2.614","2025-09-16 10:38:00.000Z"
"sensor.sigen_consumed_power","2.561","2025-09-16 10:39:00.000Z"
"sensor.sigen_consumed_power","2.561","2025-09-16 10:40:00.000Z"
"sensor.sigen_consumed_power","2.521","2025-09-16 10:41:00.000Z"
"sensor.sigen_consumed_power","2.329","2025-09-16 10:42:00.000Z"
"sensor.sigen_consumed_power","0.077","2025-09-16 10:43:00.000Z"
"sensor.sigen_consumed_power","0.129","2025-09-16 10:44:00.000Z"
"sensor.sigen_ess_charge_discharge_power","0","2025-09-16 10:30:00.000Z"
"sensor.sigen_grid_sensor_export_power","5.01","2025-09-16 10:30:00.000Z"
"sensor.sigen_grid_sensor_export_power","5.001","2025-09-16 10:31:00.000Z"
"sensor.sigen_grid_sensor_export_power","5","2025-09-16 10:32:00.000Z"
"sensor.sigen_grid_sensor_export_power","4.999","2025-09-16 10:33:00.000Z"
"sensor.sigen_grid_sensor_export_power","3.063","2025-09-16 10:34:00.000Z"
"sensor.sigen_grid_sensor_export_power","2.812","2025-09-16 10:35:00.000Z"
"sensor.sigen_grid_sensor_export_power","2.834","2025-09-16 10:36:00.000Z"
"sensor.sigen_grid_sensor_export_power","2.895","2025-09-16 10:37:00.000Z"
"sensor.sigen_grid_sensor_export_power","2.864","2025-09-16 10:38:00.000Z"
"sensor.sigen_grid_sensor_export_power","2.926","2025-09-16 10:39:00.000Z"
"sensor.sigen_grid_sensor_export_power","2.933","2025-09-16 10:40:00.000Z"
"sensor.sigen_grid_sensor_export_power","2.976","2025-09-16 10:41:00.000Z"
"sensor.sigen_grid_sensor_export_power","3.188","2025-09-16 10:42:00.000Z"
"sensor.sigen_grid_sensor_export_power","5.001","2025-09-16 10:43:00.000Z"
"sensor.sigen_grid_sensor_export_power","5.002","2025-09-16 10:44:00.000Z"
"sensor.sigen_grid_sensor_import_power","0","2025-09-16 10:30:00.000Z"
"sensor.sigen_pv_power","5.059","2025-09-16 10:30:00.000Z"
"sensor.sigen_pv_power","5.049","2025-09-16 10:31:00.000Z"
"sensor.sigen_pv_power","5.047","2025-09-16 10:32:00.000Z"
"sensor.sigen_pv_power","5.071","2025-09-16 10:33:00.000Z"
"sensor.sigen_pv_power","5.226","2025-09-16 10:34:00.000Z"
"sensor.sigen_pv_power","5.438","2025-09-16 10:35:00.000Z"
"sensor.sigen_pv_power","5.435","2025-09-16 10:36:00.000Z"
"sensor.sigen_pv_power","5.465","2025-09-16 10:37:00.000Z"
"sensor.sigen_pv_power","5.479","2025-09-16 10:38:00.000Z"
"sensor.sigen_pv_power","5.489","2025-09-16 10:39:00.000Z"
"sensor.sigen_pv_power","5.492","2025-09-16 10:40:00.000Z"
"sensor.sigen_pv_power","5.497","2025-09-16 10:41:00.000Z"
"sensor.sigen_pv_power","5.431","2025-09-16 10:42:00.000Z"
"sensor.sigen_pv_power","5.081","2025-09-16 10:43:00.000Z"
"sensor.sigen_pv_power","5.138","2025-09-16 10:44:00.000Z"
